Date,Close,High,Low,Open,Volume
9/12/2022,1180.542725,1186.881609,1168.046805,1168.046805,7435419
9/13/2022,1190.403076,1194.924309,1181.883202,1189.607891,8888657
9/14/2022,1176.134888,1185.972537,1169.046372,1170.068718,8678219
9/15/2022,1164.479858,1183.041828,1161.776157,1173.704053,10365600
9/16/2022,1135.625488,1160.072016,1131.899441,1155.868809,20217708
9/19/2022,1137.102539,1146.304018,1127.514766,1135.62575,7580254
9/20/2022,1137.28418,1153.119972,1133.580848,1146.190348,8411448
9/21/2022,1140.419678,1150.984365,1133.717335,1134.51252,9207309
9/22/2022,1129.673096,1137.352352,1123.311615,1129.627663,10308170
9/23/2022,1108.498291,1134.148898,1106.953353,1129.173343,9528051
9/26/2022,1080.257568,1098.637929,1079.257938,1087.845961,12479523
9/27/2022,1088.845581,1102.363845,1072.41917,1087.823115,16154822
9/28/2022,1059.855225,1080.552992,1057.424237,1072.532873,16997059
9/29/2022,1056.606323,1075.781749,1051.017192,1072.373847,14671827
9/30/2022,1080.439331,1091.45834,1050.10836,1050.10836,18613024
10/3/2022,1076.690552,1098.251531,1073.736973,1086.687214,11852723
10/4/2022,1096.547485,1098.728595,1086.073665,1089.549834,8948850
10/6/2022,1100.591675,1113.269323,1098.79686,1103.727103,13352162
10/7/2022,1105.24939,1110.497659,1097.206555,1097.206555,7714340
10/10/2022,1093.185303,1098.547153,1085.097035,1092.821724,6329527
10/11/2022,1071.419312,1096.9109,1068.329437,1096.9109,9215177
10/12/2022,1079.303345,1082.234207,1064.694464,1068.738658,7417103
10/13/2022,1082.734131,1087.823267,1072.419321,1077.55401,7328492
10/14/2022,1077.235718,1097.978915,1076.508681,1097.36546,9106089
10/17/2022,1094.525635,1096.91119,1064.921817,1070.101938,16729355
10/18/2022,1113.837524,1119.176659,1099.705801,1100.546419,12415820
10/19/2022,1133.217285,1148.644066,1109.497793,1115.314085,19247142
10/20/2022,1136.261841,1144.622702,1129.173324,1129.173324,8717053
10/21/2022,1123.084229,1143.622981,1120.994104,1139.487923,8243452
10/24/2022,1126.83313,1137.125224,1115.677823,1117.81338,3370033
10/25/2022,1109.42981,1135.534861,1107.816723,1135.534861,12233241
10/27/2022,1113.79187,1121.652975,1105.453726,1116.904462,12513059
10/28/2022,1147.871704,1151.893062,1117.563448,1120.0853,17609592
10/31/2022,1158.527222,1163.684626,1150.620684,1154.619445,12419943
11/1/2022,1149.552856,1181.428644,1139.624342,1181.428644,13963166
11/2/2022,1156.7323,1158.799829,1142.805144,1150.666129,8981896
11/3/2022,1161.049194,1163.048575,1147.371915,1149.553025,6693449
11/4/2022,1178.134399,1181.42872,1159.208852,1160.481076,12575815
11/7/2022,1184.427734,1186.109089,1169.614529,1177.339218,11789748
11/9/2022,1183.246338,1191.402753,1176.907454,1186.109052,11254205
11/10/2022,1168.932983,1179.861129,1164.616196,1176.884834,5966242
11/11/2022,1195.878662,1197.787058,1175.976079,1181.428794,12310132
11/14/2022,1190.085083,1200.513474,1183.768915,1195.401501,9043112
11/15/2022,1184.745972,1193.424859,1176.884865,1191.561895,7086433
11/16/2022,1177.952759,1188.676459,1172.954367,1185.972758,9716161
11/17/2022,1180.997314,1187.33608,1172.341022,1174.590281,6661451
11/18/2022,1180.36084,1185.518244,1168.296649,1184.495778,5303197
11/21/2022,1159.118042,1175.976061,1155.573723,1175.976061,6390268
11/22/2022,1165.547607,1167.115261,1152.574649,1156.436994,6611488
11/23/2022,1161.912476,1171.386668,1159.731366,1170.068892,6413408
11/24/2022,1171.932007,1178.702498,1157.891149,1165.979417,9389439
11/25/2022,1189.426147,1192.743184,1173.295045,1176.430473,7349922
11/28/2022,1230.299072,1236.433391,1136.898004,1185.47292,31527484
11/29/2022,1232.411987,1241.250008,1224.14199,1228.663223,11058913
11/30/2022,1241.11377,1247.520803,1226.050564,1232.548462,26164986
12/1/2022,1237.455811,1251.860127,1234.138773,1245.862104,9485801
12/2/2022,1236.933105,1248.679272,1227.140888,1240.50014,11589592
12/5/2022,1218.893555,1234.479348,1216.871578,1232.320955,14828536
12/6/2022,1222.415283,1225.505159,1209.146895,1211.009979,8594245
12/7/2022,1204.375854,1224.596464,1200.581658,1220.052515,8462111
